Group #,Category/Family,Kept Product ID,Kept Product Name,Old Product ID,Old Product Name,Qty Added,Pal Added,Col Added,Final Qty,Status
"16","TIMGAD CERAM","3572","EVA GRIS DARK 45/45","303","EVA DARK GRIS 45/45","712.84","10.46","502","1394.44","FIXED"
"34","TIMGAD CERAM","3629","PLAZA GREEN POLI REC 120/60","478","PLAZA GREEN POLI/REC 120/60","244","3.49","122","454","FIXED"
"64","SANI DECOR","3310","SIEGE TURQUE FLORA (SD2-355-ST) (2éme)","753","SIEGE TURQUE FLORA (SD2-355-ST) (2me)","1","0","0","9","FIXED"
"96","TIMGAD CERAM","3748","FICHE:DRAGON GREEN POLI REC 120/60","1013","FICHE: DRAGON GREEN POLI/REC 120/60","2","0","2","4","FIXED"
"99","TIMGAD CERAM","3746","FICHE:COSMO GRIS POLI REC 120/60","1126","FICHE: COSMO GRIS POLI/REC 120/60","1","0","1","2","FIXED"
"117","TIMGAD CERAM","3769","FICHE:JASMINE POLI REC 120/60","1487","FICHE:JASMINE POLI/REC 120/60","1","0","1","2","FIXED"
"118","CERAM DECOR","2697","FICHE:CALACATA 4D 30/90","1605","FICHE:4D CALACATA REC 30/90","1","0","1","2","FIXED"
"129","CERAM DECOR","3849","FICHE:WOOD DARK GRIS+GRIS BLACK 30/90","1912","FICHE:WOOD DARK GRIS +GRIS BLACK 30/90","1","0","1","8","FIXED"
"274","TIMGAD CERAM","3688","SWEET GRIS /NOBLE  45/90","3655","SWEET/NOBLE GRIS 45/90","816.48","12","672","1679.13","FIXED"
